                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2307,                 1.9416,                 1.4225,                0.51343,                0.60879,                0.57645,                0.22374,                 1.9298,                 1.6592,                 1.3421,             0.00066176,             0.00066176,             0.00066176
                      2,                 1.8438,                 1.4521,                 1.2495,                0.68346,                0.70132,                0.75862,                0.32646,                 1.7866,                 1.3699,                  1.294,              0.0013153,              0.0013153,              0.0013153
                      3,                 1.7474,                 1.2926,                 1.2154,                 0.7714,                0.75124,                0.83094,                0.34291,                   1.86,                  1.251,                 1.3279,              0.0019556,              0.0019556,              0.0019556
                      4,                  1.714,                 1.1883,                 1.1934,                0.82858,                0.76819,                0.85935,                0.43728,                  1.602,                 1.0806,                 1.2201,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6081,                 1.0633,                 1.1476,                0.81081,                0.75577,                 0.8564,                0.41114,                 1.6697,                 1.0495,                 1.2317,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5701,                0.98664,                 1.1328,                0.87673,                0.81338,                0.91071,                0.51377,                 1.4581,                0.91011,                 1.1367,               0.001901,               0.001901,               0.001901
                      7,                 1.5199,                0.93506,                 1.1143,                0.87702,                0.84424,                0.92318,                0.53493,                 1.4055,                0.86186,                 1.1009,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4949,                0.89549,                  1.096,                0.90237,                0.86761,                0.94032,                0.54051,                 1.4207,                0.84157,                 1.1124,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4568,                0.86582,                 1.0805,                0.91119,                0.87435,                0.94698,                 0.5318,                 1.5048,                0.77355,                 1.1401,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4433,                0.84251,                 1.0806,                0.92519,                0.85824,                0.94407,                0.53234,                 1.4965,                0.78275,                 1.1494,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4286,                0.81799,                 1.0716,                0.93425,                0.88291,                0.95849,                0.57144,                 1.3973,                0.72392,                 1.0832,               0.001802,               0.001802,               0.001802
                     12,                 1.4178,                0.79608,                 1.0555,                0.92189,                0.89468,                0.95846,                0.58346,                 1.3295,                0.71527,                 1.0679,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3827,                0.77284,                 1.0496,                0.94282,                0.89721,                0.96471,                0.60226,                  1.287,                0.68249,                 1.0443,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3695,                0.75591,                 1.0377,                  0.925,                0.89366,                0.95395,                0.59413,                  1.315,                0.71168,                 1.0529,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3707,                0.75166,                 1.0457,                0.94226,                0.91599,                0.95985,                0.59801,                 1.2842,                0.76586,                  1.042,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3445,                0.73135,                  1.033,                0.94717,                0.91208,                0.97018,                0.60896,                 1.2723,                0.66652,                 1.0332,               0.001703,               0.001703,               0.001703
                     17,                 1.3276,                0.72124,                 1.0226,                0.95133,                 0.9089,                0.97165,                 0.6166,                  1.274,                 0.6499,                 1.0316,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3195,                0.71231,                  1.024,                0.95424,                 0.9108,                0.97209,                0.62495,                 1.2524,                0.61419,                 1.0235,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.315,                0.69846,                 1.0262,                0.95434,                0.92226,                0.97497,                0.62374,                 1.2376,                0.62231,                 1.0225,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2963,                0.68611,                 1.0126,                0.96637,                 0.9227,                0.97934,                0.62893,                 1.2444,                0.60295,                 1.0167,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2898,                 0.6737,                  1.006,                0.95371,                0.92649,                0.97559,                0.63304,                 1.2452,                0.59961,                 1.0157,               0.001604,               0.001604,               0.001604
                     22,                  1.294,                0.67782,                 1.0064,                0.96342,                 0.9265,                0.97924,                0.64216,                 1.2332,                 0.5826,                 1.0127,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2853,                0.66649,                   1.01,                0.95801,                0.92994,                0.97632,                0.63673,                 1.2216,                0.59573,                 1.0107,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2711,                0.65662,                 1.0002,                0.96512,                0.93597,                 0.9808,                0.64885,                   1.21,                0.56333,                 1.0032,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2618,                0.65339,                0.99734,                0.96329,                0.93397,                0.97974,                0.65103,                 1.1996,                0.57289,                 1.0012,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2679,                0.66143,                 1.0025,                0.96206,                0.92946,                0.98001,                0.63753,                 1.2274,                0.58293,                 1.0117,               0.001505,               0.001505,               0.001505
                     27,                 1.2604,                0.64449,                 1.0028,                0.96394,                0.93468,                0.98197,                0.65252,                 1.2092,                0.56072,                 1.0058,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2501,                0.63934,                0.99697,                0.96382,                0.93839,                0.98084,                0.65396,                 1.2097,                0.55548,                 1.0061,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2505,                0.63834,                0.99246,                0.96758,                 0.9326,                0.98267,                0.66036,                 1.1784,                0.55092,                0.98884,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2306,                0.62037,                0.98817,                0.96978,                0.93712,                0.98239,                0.64787,                 1.1985,                0.54854,                0.99956,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2323,                0.62603,                 0.9931,                0.96471,                0.94471,                0.98498,                0.66445,                 1.1807,                0.53679,                 0.9907,               0.001406,               0.001406,               0.001406
                     32,                 1.2335,                0.61556,                0.98741,                0.96834,                0.94007,                0.98394,                0.65932,                 1.1836,                0.53855,                0.99015,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2174,                0.60838,                0.98012,                 0.9629,                0.94871,                0.98498,                0.66573,                 1.1667,                0.53053,                0.98456,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2181,                0.60758,                0.98229,                0.96609,                 0.9481,                0.98535,                0.67335,                 1.1547,                0.52998,                0.97988,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2136,                0.60489,                0.98226,                0.96944,                0.93797,                0.98307,                0.66673,                 1.1776,                0.53079,                0.98442,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2138,                0.60514,                0.98282,                0.97388,                0.94997,                0.98749,                 0.6614,                 1.1787,                0.52545,                0.98685,               0.001307,               0.001307,               0.001307
                     37,                 1.2072,                0.60086,                0.98059,                0.96225,                0.93934,                0.98212,                0.65227,                 1.2092,                0.54446,                 1.0021,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1998,                0.59948,                0.97807,                0.97356,                0.94628,                0.98646,                0.66324,                 1.1828,                0.52548,                0.98598,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1978,                0.59197,                0.97669,                0.96758,                0.94987,                0.98621,                0.67138,                 1.1649,                0.52459,                0.97867,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1882,                0.58552,                0.97125,                 0.9734,                0.95188,                 0.9879,                0.67361,                 1.1641,                0.50695,                0.97998,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1987,                0.58724,                0.97588,                0.97418,                 0.9537,                0.98834,                0.68452,                 1.1393,                0.49845,                0.97016,               0.001208,               0.001208,               0.001208
                     42,                  1.179,                0.57933,                0.96701,                0.97018,                0.95524,                0.98765,                0.68286,                 1.1533,                0.50025,                0.97403,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1758,                0.58178,                0.96689,                0.97814,                 0.9474,                0.98714,                0.67924,                 1.1484,                0.50559,                0.97266,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1832,                0.57777,                0.96948,                0.97588,                0.95469,                0.98797,                0.67992,                 1.1351,                  0.499,                0.96839,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1735,                0.57237,                0.96458,                0.97207,                0.95608,                0.98779,                0.67378,                 1.1643,                0.50822,                 0.9771,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1749,                0.57429,                0.96854,                0.97081,                0.95893,                0.98901,                0.67872,                 1.1368,                 0.5039,                0.96732,               0.001109,               0.001109,               0.001109
                     47,                 1.1693,                0.57215,                0.96431,                0.97566,                0.96124,                0.98924,                0.68884,                 1.1292,                0.48137,                0.96684,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1673,                0.56523,                0.95866,                0.97584,                 0.9585,                0.98903,                0.69141,                 1.1241,                0.48915,                0.96107,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1612,                0.56309,                0.96012,                0.97416,                0.96008,                0.98941,                 0.6856,                 1.1261,                0.49297,                0.96037,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1619,                0.56371,                0.96076,                0.97143,                0.96198,                0.98909,                0.68743,                 1.1244,                0.48985,                0.96375,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.162,                0.56384,                 0.9639,                0.97854,                0.96037,                0.98999,                0.68686,                  1.132,                0.48888,                0.96437,                0.00101,                0.00101,                0.00101
                     52,                 1.1532,                0.55781,                0.96153,                0.97547,                0.95913,                0.98945,                0.68674,                 1.1313,                0.48953,                0.96532,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1529,                0.55588,                0.96011,                0.97359,                0.95908,                0.98878,                0.68781,                 1.1286,                0.48784,                0.96269,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1434,                0.55093,                0.95425,                0.97569,                0.96374,                0.99008,                0.69592,                 1.1189,                0.48175,                0.95905,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1429,                0.55109,                0.95323,                0.97821,                 0.9564,                 0.9897,                 0.6949,                 1.1089,                0.47287,                 0.9547,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1414,                0.55182,                0.95663,                   0.98,                0.95994,                0.99019,                0.69369,                 1.1256,                0.47423,                0.96202,               0.000911,               0.000911,               0.000911
